t4,x4,y4,z4,q1,q2,q3,q4,img
1533558240369,7.574896,0.000003,-7.068382,0.707068,0.007454,-0.007454,-0.707067,img_0_0_1533558241500779700.png
1533558240447,7.564266,0.000003,-7.068843,0.707075,0.006686,-0.006686,-0.707075,img_0_0_1533558241580766000.png
1533558240600,7.546603,0.000003,-7.069956,0.707086,0.005382,-0.005382,-0.707086,img_0_0_1533558241707647400.png
1533558240693,7.537640,0.000003,-7.070731,0.707091,0.004710,-0.004710,-0.707091,img_0_0_1533558241802598200.png
1533558240789,7.529562,0.000003,-7.071807,0.707093,-0.004414,0.004414,-0.707093,img_0_0_1533558241905537600.png
1533558240873,7.521912,0.000003,-7.075422,0.706895,-0.017308,0.017308,-0.706895,img_0_0_1533558242004416000.png
1533558240999,7.503558,0.000003,-7.086877,0.706571,-0.027528,0.027528,-0.706571,img_0_0_1533558242117214700.png
1533558241074,7.486923,0.000003,-7.097013,0.706444,-0.030607,0.030607,-0.706444,img_0_0_1533558242202199500.png
1533558241224,7.438448,0.000003,-7.124469,0.706308,-0.033599,0.033599,-0.706308,img_0_0_1533558242350675300.png
1533558241368,7.372750,0.000003,-7.148419,0.706942,-0.015256,0.015256,-0.706942,img_0_0_1533558242497340400.png
1533558241458,7.327287,0.000003,-7.140832,0.707105,0.001460,-0.001460,-0.707105,img_0_0_1533558242592639900.png
1533558241605,7.254292,0.000003,-7.128504,0.706989,0.012933,-0.012933,-0.706988,img_0_0_1533558242727020600.png
1533558241683,7.218391,0.000003,-7.124547,0.706943,0.015234,-0.015234,-0.706943,img_0_0_1533558242816417100.png
1533558241782,7.176595,0.000003,-7.121294,0.706923,0.016111,-0.016111,-0.706923,img_0_0_1533558242918112400.png
1533558241893,7.134989,0.000003,-7.119106,0.706935,0.015604,-0.015604,-0.706935,img_0_0_1533558243033813000.png
1533558242013,7.096045,0.000003,-7.117766,0.706964,0.014230,-0.014230,-0.706964,img_0_0_1533558243139776700.png
1533558242118,7.066691,0.000003,-7.117154,0.706992,0.012771,-0.012771,-0.706991,img_0_0_1533558243243683700.png
1533558242223,7.041277,0.000003,-7.116915,0.707017,0.011285,-0.011285,-0.707017,img_0_0_1533558243357918700.png
1533558242319,7.021098,0.000003,-7.116954,0.707036,0.009989,-0.009989,-0.707036,img_0_0_1533558243472579500.png
1533558242469,6.994605,0.000003,-7.117405,0.707060,0.008169,-0.008169,-0.707060,img_0_0_1533558243603504200.png
1533558242574,6.979186,0.000003,-7.117946,0.707072,0.007061,-0.007061,-0.707071,img_0_0_1533558243706908400.png
1533558242676,6.966292,0.000002,-7.118607,0.707080,0.006113,-0.006113,-0.707080,img_0_0_1533558243822694200.png
1533558242787,6.954270,0.000002,-7.119442,0.707088,0.005216,-0.005216,-0.707088,img_0_0_1533558243916927100.png
