timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,pos_itow,fix_quality,sacc,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,fix_type,vel_ned_valid,satellites_used
16755059,0,307872065,1038586443,565997,525718,357615600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.049999997,-0.01,-0.01,0.049999997,-1.5707965,-16755059,6,1,17
16943980,0,307872066,1038586443,566000,525721,357615800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.01,0.01,0.0,-1.5707965,-16943980,6,1,17
17155189,0,307872065,1038586443,565998,525719,357616000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,-0.02,0.0,-0.01,-1.5707965,-17155189,6,1,17
17344920,0,307872065,1038586443,565996,525717,357616200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.04,0.0,0.01,-0.04,-1.5707965,-17344920,6,1,17
17555133,0,307872066,1038586442,565989,525711,357616400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.01,0.0,0.0,0.0,-1.5707965,-17555133,6,1,17
17743132,0,307872066,1038586442,565983,525704,357616600,0,0,0.0,0.0,0.008,0.008,0.79999995,1.89,0,0,0.049999997,0.01,0.0,-0.04,-1.5707965,-17743132,6,1,17
17951985,0,307872066,1038586443,565984,525705,357616800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.04,0.03,0.0,-0.01,-1.5707965,-17951985,6,1,17
18142289,0,307872066,1038586442,565983,525705,357617000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.01,-0.01,0.01,-1.5707965,-18142289,6,1,17
18351063,0,307872066,1038586442,565984,525705,357617200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.0,0.0,0.0,0.0,-1.5707965,-18351063,6,1,17
18539983,0,307872066,1038586442,565986,525707,357617400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,-0.01,0.0,-0.02,-1.5707965,-18539983,6,1,17
18748864,0,307872066,1038586442,565988,525709,357617600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.01,0.0,-0.01,-1.5707965,-18748864,6,1,17
18937916,0,307872066,1038586442,565986,525707,357617800,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.01,0.0,0.01,-1.5707965,-18937916,6,1,17
19148867,0,307872066,1038586442,565986,525708,357618000,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.03,0.0,-0.02,0.02,-1.5707965,-19148867,6,1,17
19337864,0,307872066,1038586442,565985,525706,357618200,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.0,0.0,0.02,-1.5707965,-19337864,6,1,17
19547361,0,307872066,1038586442,565984,525705,357618400,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.01,0.0,0.0,-0.01,-1.5707965,-19547361,6,1,17
19756946,0,307872066,1038586442,565982,525703,357618600,0,0,0.0,0.0,0.009000001,0.008,0.79999995,1.89,0,0,0.02,0.01,-0.01,0.0,-1.5707965,-19756946,6,1,17
19944922,0,307872066,1038586442,565983,525704,357618800,0,0,0.0,0.0,0.009000001,0.009000001,0.79999995,1.89,0,0,0.089999996,0.0,0.01,0.08,-1.5707965,-19944922,6,1,17
20155503,0,307872066,1038586442,565983,525704,357619000,0,0,0.0,0.0,0.010000001,0.009000001,0.79999995,1.89,0,0,0.06,0.02,0.01,0.049999997,-1.5707965,-20155503,6,1,17
