timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,is_rotary_wing,is_vtol,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,high_latency_data_link_active,data_link_lost_counter,engine_failure,mission_failure
208373756,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
209375920,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
210384546,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
211393175,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
212397874,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
213407893,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
213506754,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
214496751,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
215500724,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
215688164,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
216689872,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
217701511,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
218705758,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
219711902,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
220713812,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
221718741,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
222728776,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
223731960,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
224743968,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
225747942,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
226752379,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
227760370,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
228764524,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
229773818,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
230778136,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
231783830,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
232787536,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
233791955,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
234797774,3014703,2162703,3014703,4,1,0,0,2,1,1,1,0,0,0,0,1,0,1,0,1,0,0
